,price_real_clear,info_date,info_hour
1098,40.0,2024-09-11,10:30
1099,181.85,2024-09-11,10:45
1100,40.0,2024-09-11,11:00
1101,292.83,2024-09-11,11:15
1102,40.0,2024-09-11,11:30
1103,40.0,2024-09-11,11:45
1104,40.0,2024-09-11,12:00
1105,40.0,2024-09-11,12:15
1106,40.0,2024-09-11,12:30
1107,40.0,2024-09-11,12:45
1108,40.0,2024-09-11,13:00
1109,40.0,2024-09-11,13:15
1110,40.0,2024-09-11,13:30
1111,40.0,2024-09-11,13:45
1112,40.0,2024-09-11,14:00
1113,40.0,2024-09-11,14:15
1114,40.0,2024-09-11,14:30
1115,40.0,2024-09-11,14:45
1116,40.0,2024-09-11,15:00
1117,40.0,2024-09-11,15:15
1118,40.0,2024-09-11,15:30
1119,199.54,2024-09-11,15:45
1120,290.3,2024-09-11,16:00
1121,40.0,2024-09-11,16:15
1122,40.0,2024-09-11,16:30
1123,40.0,2024-09-11,16:45
1124,387.59,2024-09-11,17:00
1125,40.0,2024-09-11,17:15
1126,336.26,2024-09-11,17:30
1127,349.02,2024-09-11,17:45
1128,40.0,2024-09-11,18:00
1129,40.0,2024-09-11,18:15
1130,40.0,2024-09-11,18:30
1131,40.0,2024-09-11,18:45
1132,337.78,2024-09-11,19:00
1133,301.87,2024-09-11,19:15
1134,40.0,2024-09-11,19:30
1135,40.0,2024-09-11,19:45
1136,40.0,2024-09-11,20:00
1137,40.0,2024-09-11,20:15
1138,328.74,2024-09-11,20:30
1139,338.09,2024-09-11,20:45
1140,40.0,2024-09-11,21:00
1141,40.0,2024-09-11,21:15
1142,40.0,2024-09-11,21:30
1143,40.0,2024-09-11,21:45
1144,40.0,2024-09-11,22:00
1145,310.01,2024-09-11,22:15
1146,49.28,2024-09-11,22:30
1147,40.0,2024-09-11,22:45
1148,40.0,2024-09-11,23:00
1149,40.0,2024-09-11,23:15
1150,319.4,2024-09-11,23:30
1151,40.0,2024-09-11,23:45
1152,40.0,2024-09-11,24:00
1153,338.95,2024-09-12,00:15
1154,376.75,2024-09-12,00:30
1155,395.29,2024-09-12,00:45
1156,357.7,2024-09-12,01:00
1157,301.83,2024-09-12,01:15
1158,339.0,2024-09-12,01:30
1159,95.97,2024-09-12,01:45
1160,49.32,2024-09-12,02:00
1161,301.14,2024-09-12,02:15
1162,329.05,2024-09-12,02:30
1163,357.09,2024-09-12,02:45
1164,291.77,2024-09-12,03:00
1165,291.85,2024-09-12,03:15
1166,311.76,2024-09-12,03:30
1167,373.92,2024-09-12,03:45
1168,373.87,2024-09-12,04:00
1169,338.72,2024-09-12,04:15
1170,321.73,2024-09-12,04:30
1171,312.59,2024-09-12,04:45
1172,268.55,2024-09-12,05:00
1173,301.46,2024-09-12,05:15
1174,321.12,2024-09-12,05:30
1175,531.24,2024-09-12,05:45
1176,443.21,2024-09-12,06:00
1177,371.94,2024-09-12,06:15
1178,443.02,2024-09-12,06:30
1179,356.09,2024-09-12,06:45
1180,533.47,2024-09-12,07:00
1181,275.23,2024-09-12,07:15
1182,266.24,2024-09-12,07:30
1183,48.67,2024-09-12,07:45
1184,248.38,2024-09-12,08:00
1185,283.31,2024-09-12,08:15
1186,337.95,2024-09-12,08:30
1187,286.06,2024-09-12,08:45
1188,242.96,2024-09-12,09:00
1189,40.0,2024-09-12,09:15
1190,296.78,2024-09-12,09:30
1191,40.0,2024-09-12,09:45
1192,40.0,2024-09-12,10:00
1193,40.0,2024-09-12,10:15
1194,40.0,2024-09-12,10:30
1195,40.0,2024-09-12,10:45
1196,40.0,2024-09-12,11:00
1197,40.0,2024-09-12,11:15
1198,40.0,2024-09-12,11:30
1199,40.0,2024-09-12,11:45
1200,40.0,2024-09-12,12:00
1201,40.0,2024-09-12,12:15
1202,40.0,2024-09-12,12:30
1203,40.0,2024-09-12,12:45
1204,40.0,2024-09-12,13:00
1205,40.0,2024-09-12,13:15
1206,40.0,2024-09-12,13:30
1207,40.0,2024-09-12,13:45
1208,40.0,2024-09-12,14:00
1209,40.0,2024-09-12,14:15
1210,40.0,2024-09-12,14:30
1211,40.0,2024-09-12,14:45
1212,40.0,2024-09-12,15:00
1213,40.0,2024-09-12,15:15
1214,40.0,2024-09-12,15:30
1215,40.0,2024-09-12,15:45
1216,40.0,2024-09-12,16:00
1217,40.0,2024-09-12,16:15
1218,40.0,2024-09-12,16:30
1219,40.0,2024-09-12,16:45
1220,40.0,2024-09-12,17:00
1221,40.0,2024-09-12,17:15
1222,40.0,2024-09-12,17:30
1223,40.0,2024-09-12,17:45
1224,40.0,2024-09-12,18:00
1225,40.0,2024-09-12,18:15
1226,40.0,2024-09-12,18:30
1227,40.0,2024-09-12,18:45
1228,396.78,2024-09-12,19:00
1229,470.71,2024-09-12,19:15
1230,491.93,2024-09-12,19:30
1231,375.62,2024-09-12,19:45
1232,40.0,2024-09-12,20:00
1233,40.0,2024-09-12,20:15
1234,328.47,2024-09-12,20:30
1235,374.33,2024-09-12,20:45
1236,336.7,2024-09-12,21:00
1237,40.0,2024-09-12,21:15
1238,297.91,2024-09-12,21:30
1239,40.0,2024-09-12,21:45
1240,334.04,2024-09-12,22:00
1241,315.49,2024-09-12,22:15
1242,259.64,2024-09-12,22:30
1243,40.0,2024-09-12,22:45
1244,40.0,2024-09-12,23:00
1245,548.78,2024-09-12,23:15
1246,558.86,2024-09-12,23:30
1247,336.09,2024-09-12,23:45
1248,326.57,2024-09-12,24:00
1249,298.95,2024-09-13,00:15
1250,40.0,2024-09-13,00:30
1251,40.0,2024-09-13,00:45
1252,50.0,2024-09-13,01:00
1253,40.0,2024-09-13,01:15
1254,280.0,2024-09-13,01:30
1255,40.0,2024-09-13,01:45
1256,40.0,2024-09-13,02:00
1257,40.0,2024-09-13,02:15
1258,40.0,2024-09-13,02:30
1259,40.0,2024-09-13,02:45
1260,40.0,2024-09-13,03:00
1261,40.0,2024-09-13,03:15
1262,40.0,2024-09-13,03:30
1263,40.0,2024-09-13,03:45
1264,40.0,2024-09-13,04:00
1265,40.0,2024-09-13,04:15
1266,40.0,2024-09-13,04:30
1267,40.0,2024-09-13,04:45
1268,40.0,2024-09-13,05:00
1269,40.0,2024-09-13,05:15
1270,40.0,2024-09-13,05:30
1271,40.0,2024-09-13,05:45
1272,40.0,2024-09-13,06:00
1273,40.0,2024-09-13,06:15
1274,40.0,2024-09-13,06:30
1275,40.0,2024-09-13,06:45
1276,40.0,2024-09-13,07:00
1277,40.0,2024-09-13,07:15
1278,40.0,2024-09-13,07:30
1279,40.0,2024-09-13,07:45
1280,40.0,2024-09-13,08:00
1281,298.99,2024-09-13,08:15
1282,40.0,2024-09-13,08:30
1283,40.0,2024-09-13,08:45
1284,40.0,2024-09-13,09:00
1285,206.44,2024-09-13,09:15
1286,205.94,2024-09-13,09:30
1287,40.0,2024-09-13,09:45
1288,178.96,2024-09-13,10:00
1289,160.52,2024-09-13,10:15
1290,40.0,2024-09-13,10:30
1291,40.0,2024-09-13,10:45
